Variant,Name,CL / SL
"Clang 14, O0 + mem2reg","get_builtin ,s           @0x0:0x1c3",0.875
"Clang 14, O0 + mem2reg","git_find_las,path        @0x0:0x350",1
"Clang 14, O0 + mem2reg","gitstrchrnul,c           @0x0:0x932",0.75
"Clang 14, O0 + mem2reg","gitstrchrnul,s           @0x0:0x922",0.75
"Clang 14, O0 + mem2reg","handle_alias,alias_comman@0x0:0x6dc",0.93878
"Clang 14, O0 + mem2reg","handle_alias,alias_string@0x0:0x6ec",0.91837
"Clang 14, O0 + mem2reg","handle_alias,argcp       @0x0:0x66f",0.93878
"Clang 14, O0 + mem2reg","handle_alias,argv        @0x0:0x67f",1
"Clang 14, O0 + mem2reg","handle_alias,child       @0x0:0x719",1
"Clang 14, O0 + mem2reg","handle_alias,count       @0x0:0x69e",1
"Clang 14, O0 + mem2reg","handle_alias,envchanged  @0x0:0x68f",1
"Clang 14, O0 + mem2reg","handle_alias,new_argv    @0x0:0x6ad",1
"Clang 14, O0 + mem2reg","handle_alias,nongit_ok   @0x0:0x729",1
"Clang 14, O0 + mem2reg","handle_alias,option_count@0x0:0x6fc",0.32653
"Clang 14, O0 + mem2reg","handle_alias,ret         @0x0:0x6bc",0.97959
"Clang 14, O0 + mem2reg","handle_alias,saved_errno @0x0:0x6cc",0.93878
"Clang 14, O0 + mem2reg","handle_built,argc        @0x0:0x377",0.94444
"Clang 14, O0 + mem2reg","handle_built,args        @0x0:0x397",1
"Clang 14, O0 + mem2reg","handle_built,argv        @0x0:0x387",0.94444
"Clang 14, O0 + mem2reg","handle_built,builtin     @0x0:0x3b6",0.22222
"Clang 14, O0 + mem2reg","handle_built,cmd         @0x0:0x3a6",0.61111
"Clang 14, O0 + mem2reg","handle_built,i           @0x0:0x3d3",0.77778
"Clang 14, O0 + mem2reg","handle_optio,argc        @0x0:0x436",0.99415
"Clang 14, O0 + mem2reg","handle_optio,argv        @0x0:0x427",0.99415
"Clang 14, O0 + mem2reg","handle_optio,cmd         @0x0:0x470",1
"Clang 14, O0 + mem2reg","handle_optio,cwd         @0x0:0x48b",0.875
"Clang 14, O0 + mem2reg","handle_optio,envchanged  @0x0:0x445",0.99415
"Clang 14, O0 + mem2reg","handle_optio,i           @0x0:0x4b7",0.66667
"Clang 14, O0 + mem2reg","handle_optio,list        @0x0:0x4a8",1
"Clang 14, O0 + mem2reg","handle_optio,orig_argv   @0x0:0x454",0.9883
"Clang 14, O0 + mem2reg","is_builtin  ,s           @0x0:0x198",1
"Clang 14, O0 + mem2reg","list_builtin,exclude_opti@0x0:0x84a",0.85714
