Name	Cov (B)     	Scope (B)   	CB / SB     	Cov (L)     	Scope (L)   	CL / SL     
exclude_helpers_from_list, i, decl git.c:47, unit git.c	          94	         123	     0.76423	           5	           6	     0.83333
st_mult, a, decl git-compat-util.h:990, unit git.c	          78	          90	     0.86667	           3	           4	     0.75000
st_mult, b, decl git-compat-util.h:990, unit git.c	          74	          90	     0.82222	           3	           4	     0.75000
gitstrchrnul, s, decl git-compat-util.h:959, unit git.c	          68	          81	     0.83951	           3	           4	     0.75000
gitstrchrnul, c, decl git-compat-util.h:959, unit git.c	          74	          81	     0.91358	           3	           4	     0.75000
setup_auto_pager, cmd, decl git.c:125, unit git.c	          68	          80	     0.85000	           7	           8	     0.87500
setup_auto_pager, def, decl git.c:125, unit git.c	          65	          80	     0.81250	           7	           8	     0.87500
strbuf_addstr, sb, decl strbuf.h:303, unit git.c	          54	          54	     1.00000	           3	           3	     1.00000
strbuf_addstr, s, decl strbuf.h:303, unit git.c	          54	          54	     1.00000	           3	           3	     1.00000
_, msgid, decl gettext.h:44, unit git.c	          41	          53	     0.77358	           4	           5	     0.80000
trace_pass_fl, key, decl trace.h:273, unit git.c	          44	          52	     0.84615	           1	           2	     0.50000
is_builtin, s, decl git.c:646, unit git.c	          27	          27	     1.00000	           2	           2	     1.00000
git_find_last_dir_sep, path, decl git-compat-util.h:536, unit git.c	          16	          16	     1.00000	           2	           2	     1.00000

params	       22719	       23593	     0.96296	        1122	        1165	     0.96309
vars	       29127	       34377	     0.84728	        1375	        1606	     0.85616
all	       51846	       57970	     0.89436	        2497	        2771	     0.90112
